№;P+, кВт;R+, кВар;Время;Дата
508;0.7330;0.0860;14:00;11.09.2019
509;0.7300;0.0790;14:30;11.09.2019
510;0.7600;0.0830;15:00;11.09.2019
511;0.7670;0.0910;15:30;11.09.2019
512;0.7710;0.0920;16:00;11.09.2019
513;0.7380;0.0830;16:30;11.09.2019
514;0.7060;0.0780;17:00;11.09.2019
515;0.7080;0.0720;17:30;11.09.2019
516;0.6970;0.0760;18:00;11.09.2019
517;0.6390;0.0680;18:30;11.09.2019
518;0.5900;0.0400;19:00;11.09.2019
519;0.5680;0.0200;19:30;11.09.2019
520;0.5720;0.0310;20:00;11.09.2019
521;0.5560;0.0230;20:30;11.09.2019
522;0.5710;0.0260;21:00;11.09.2019
523;0.6000;0.0410;21:30;11.09.2019
524;0.6070;0.0510;22:00;11.09.2019
525;0.6160;0.0690;22:30;11.09.2019
526;0.6070;0.0660;23:00;11.09.2019
527;0.5710;0.0570;23:30;11.09.2019
528;0.5920;0.0500;00:00;12.09.2019
529;0.5410;0.0520;00:30;12.09.2019
530;0.5590;0.0420;01:00;12.09.2019
531;0.6090;0.0600;01:30;12.09.2019
532;0.6240;0.0520;02:00;12.09.2019
533;0.5800;0.0580;02:30;12.09.2019
534;0.5670;0.0540;03:00;12.09.2019
535;0.5710;0.0540;03:30;12.09.2019
536;0.5320;0.0520;04:00;12.09.2019
537;0.5490;0.0510;04:30;12.09.2019
538;0.5560;0.0430;05:00;12.09.2019
539;0.5790;0.0470;05:30;12.09.2019
540;0.5370;0.0450;06:00;12.09.2019
541;0.5210;0.0490;06:30;12.09.2019
542;0.4930;0.0490;07:00;12.09.2019
543;0.5050;0.0270;07:30;12.09.2019
544;0.5470;0.0130;08:00;12.09.2019
545;0.6220;0.0290;08:30;12.09.2019
546;0.6580;0.0420;09:00;12.09.2019
547;0.6870;0.0600;09:30;12.09.2019
548;0.7220;0.0840;10:00;12.09.2019
549;0.7130;0.0760;10:30;12.09.2019
550;0.7560;0.0870;11:00;12.09.2019
551;0.7760;0.0900;11:30;12.09.2019
552;0.6860;0.0730;12:00;12.09.2019
553;0.6770;0.0680;12:30;12.09.2019
554;0.7020;0.0700;13:00;12.09.2019
555;0.6890;0.0650;13:30;12.09.2019
556;0.7040;0.0730;14:00;12.09.2019
557;0.7750;0.0900;14:30;12.09.2019
558;0.8040;0.1000;15:00;12.09.2019
559;0.7930;0.1010;15:30;12.09.2019
560;0.8140;0.1060;16:00;12.09.2019
561;0.8350;0.1120;16:30;12.09.2019
562;0.7560;0.0960;17:00;12.09.2019
563;0.7880;0.1070;17:30;12.09.2019
564;0.7500;0.0980;18:00;12.09.2019
565;0.7140;0.0860;18:30;12.09.2019
566;0.5990;0.0490;19:00;12.09.2019
567;0.5720;0.0360;19:30;12.09.2019
568;0.5660;0.0310;20:00;12.09.2019
569;0.5850;0.0520;20:30;12.09.2019
570;0.6010;0.0630;21:00;12.09.2019
571;0.6350;0.0560;21:30;12.09.2019
